附件id,附件类型,附件名称,原文件名,最后修改时间,最后执行修改事务人id,附件路径,页码大小,数据导入类型，是否是本系统生成的数据 默认0 ,创建时间,是否是本地文件 0-否  1-是 ,地区编码,操作类型,uuid,是否是本地文件, 地区编码
FILE320500280354784949571584,.doc,（苏苏高）应急检查〔2020〕3号.doc,,12/6/2024 19:21,USER3205067,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280354784509169664.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98b15-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354784957960192,.pdf,（苏苏高）应急检查〔2020〕3号.pdf,,12/6/2024 19:21,USER3205067,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280354784509169664.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98b25-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354820815065088,.doc,（苏苏常）应急立〔2020〕2号.doc,,12/6/2024 19:21,USER3205281,/opt/data-new/tmp//3205/320581/2020/3/writ/WS320500280354820408217600.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98b36-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354820823453696,.pdf,（苏苏常）应急立〔2020〕2号.pdf,,12/6/2024 19:21,USER3205281,/opt/data-new/file//3205/320581/2020/3/writ/WS320500280354820408217600.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98b47-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354858031124480,.doc,（苏苏高）应急检查〔2020〕4号.doc,,12/6/2024 19:21,USER3205069,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280354857620082688.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98b58-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354858035318784,.pdf,（苏苏高）应急检查〔2020〕4号.pdf,,12/6/2024 19:21,USER3205069,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280354857620082688.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98b68-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354887437389824,.pdf,（苏苏常）应急立〔2020〕3号.pdf,,12/6/2024 19:21,USER3205280,/opt/data-new/file//3205/320581/2020/3/writ/WS320500280354887064096768.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98b7b-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280355118858113024,.doc,（苏苏常）应急立〔2020〕4号.doc,,12/6/2024 19:21,USER3205278,/opt/data-new/tmp//3205/320581/2020/3/writ/WS320500280355118455459840.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98b8e-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280355118870695936,.pdf,（苏苏常）应急立〔2020〕4号.pdf,,12/6/2024 19:21,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/WS320500280355118455459840.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98b9f-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280355597633720320,.pdf,（苏苏高）应急检查〔2020〕3号.pdf,,12/6/2024 19:21,USER3205067,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280355597633720320.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c26b-f220-11eb-bca6-fa163e11a32f,,苏州市
