"时间戳","主键","创建人","创建时间","修改人","修改时间","企业id","标签id","标签名称","数据来源"
2025-10-26 19:33:13.000,"0037337952c2b88fe67c65345a3306e1",,,,,"91320585MA25JH38XK","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:10.000,"00375890ee7e0dfc6768f24fa74bc2f4",,,,,"913205816979322377","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:14.000,"003798ce1703f04235ca799b6f5a5060",,,,,"92320582MA1PHCYT0K",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"00384734b386415399a9ff7a80cc7360",,,,,"91320581MA7J0KYG91","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:09.000,"00384e67891bad91646993cdd0d7f1d9",,,,,"91320509561756860Y","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:13.000,"003884d2ab384ec90bddf9cf63213b15",,,,,"91320585746212173C",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:13.000,"003988cd1ad51266ccb78fddec117aa0",,,,,"91320585MA26PNCU7K","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:12.000,"0039e794692a03af9de16a211a90929b",,,,,"91320583569194524X","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:09.000,"003a6feafa4ef953d7f400f50f9af323",,,,,"91320507MA1MXRD72T","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:11.000,"003b1c75e240e49be334d4c9e891b3c0",,,,,"91320582MA25PGKL4H","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:12.000,"003b99ec8e5659b886c399c9bdf4b428",,,,,"91320583670976854B","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:08.000,"003beca3ddce96bd222e24a9a9af193c",,,,,"91320505MA1MF6DP4Y","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:08.000,"003d5d0cf8544614b8360e5c88a8c622",,,,,"91320506796543691P","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:07.000,"003db3482b0d45f64fc6727654775775",,,,,"91320500798328370N","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:11.000,"003dcf64bb86b69ff5129f752f626387",,,,,"913205830601565175","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:14.000,"003df23e895cbbb56eeeee455131efc5",,,,,"92320507MA1PBELDXK",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"003e1326cfc1b3268dc3ab9add0a36bb",,,,,"913205837732499916",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"003e893e906051ebf7d79eb72c5b4dd2",,,,,"91320509565282009D","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:14.000,"003f2e37852896f7d6a6bbdae5ef7c07",,,,,"92320509MABWY2G17G","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:13.000,"003f76ad41a0a3732a43542be341a9a7",,,,,"91320585MA20Y87B2Q","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:11.000,"00403412e3c755164984c19fb2530c27",,,,,"913205825593158478",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"00405852601f65bad225fe7743c853ad",,,,,"91320583MA1M90RG0L",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:13.000,"00409d9762b3551d974fb036232f0c69",,,,,"91320585729294445B",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"00417a67e85479dce1663996ebc14253",,,,,"91320582592537839D","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:12.000,"004183499c33ce5b54aec7dd55ef6e4c",,,,,"9132058374067713XK",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"00424d070327b9497186161e39faf330",,,,,"91320583398306594C",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:10.000,"00426c7febc799fa7986f76eeed26b28",,,,,"91320509728733362D","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:08.000,"0042c5f092b6cae9d401c4befbff661b",,,,,"91320506314027134L","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:08.000,"0042d3c6757430598f735b3bbeaa31ec",,,,,"913205067505392917",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"0042e533afed414a91e25c55475c3301",,,,,"913205817938448359",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"0042fc041b5bb54f56bb6a6e51f259a5",,,,,"913205835866111079",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"00430ce23dc13ebae0663b9c4fe529ba",,,,,"9132058366637237X5",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"004341616c62ead232cf082c51a58736",,,,,"91320506MAC2WH6R0J",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:10.000,"0043bd68b5fcd7d42f6292701e82b985",,,,,"91320509746812937F","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:10.000,"0043fe479a90656756ae98633fa4b4dd",,,,,"91320581678347163N",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:13.000,"00445d84b46c45095939a055d9158300",,,,,"91320594776896895X",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"0045789bf6b30bac869c5aaefcb69ff6",,,,,"91320506MA7G8WE55L","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:09.000,"0045ae370b19ae613aa7d2b58d6d24ad",,,,,"913205073141342200",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:13.000,"0045c877dd4d3cffc81ca3ffb28f119a",,,,,"91320583X082759654","1a282fd947354a6295071c1e9b84948b",厂中厂-出租方,
2025-10-26 19:33:10.000,"00460457b5b2f54bd596a36f95813160",,,,,"91320581323590455T","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:09.000,"00461d89e857cf7636b05bc3f5821209",,,,,"913205073020218947","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:12.000,"0046e1825e8f4c72a2bee0336da84b90",,,,,"91320583752005840W","1a282fd947354a6295071c1e9b84948b",厂中厂-出租方,
