"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
881313,"MULTIPOLYGON (((120.64593798300007 31.811144455000033, 120.64600460700001 31.81116009200008, 120.64603414600003 31.811068317000036, 120.64596752200009 31.811052680000046, 120.64593798300007 31.811144455000033)))","8DF07539492B41AC8D34ECC0C4E8E5F9",塘桥镇,张家港,塘桥镇周巷村第五组1号,塘桥镇周巷村第五组1号,周巷村,"3205820102317","3.3",120.645986065,31.811106386,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"2","",
943255,"MULTIPOLYGON (((120.64660791100005 31.811422918000062, 120.64661617600007 31.811388082000065, 120.646563291 31.81137893400006, 120.64653234500008 31.811509370000067, 120.64658523000003 31.81151851900006, 120.64660791100005 31.811422918000062)))",c10bed14b79531d6215c0d608d69b854,塘桥镇,张家港,周巷村委会17组7号辅房1,周巷村委会17组7号辅房1,周巷村委会,"3205820102334","3.2",120.64657426,31.8114487263,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"1","",
817763,"MULTIPOLYGON (((120.66033677600001 31.808659292000073, 120.66028791800011 31.80865594200003, 120.6602776420001 31.808765221000044, 120.66041350500007 31.80877453800008, 120.66042193100009 31.80868493400004, 120.66033492500003 31.808678968000038, 120.66033677600001 31.808659292000073)))","47493A1B78AE436D896A4C9B9BA68D27",塘桥镇,张家港,周巷村委会禄荡第13组2号,周巷村委会禄荡第13组2号,周巷村,"3205820102451","8.1",120.660346979,31.8087208605,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"1","",
817541,"MULTIPOLYGON (((120.65767421300006 31.808553216000064, 120.65781513500008 31.808566804000066, 120.6578288500001 31.808463078000045, 120.65768792800009 31.808449490000044, 120.65767421300006 31.808553216000064)))","4f3ef3c502d02e3bd68e48ebd55e272b",塘桥镇,张家港,周巷村委会禄荡10组24号,周巷村委会禄荡10组24号,周巷村委会,"3205820102461","6.9",120.657751532,31.808508147,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"1","",
1005227,"MULTIPOLYGON (((120.65160905000005 31.808148076000066, 120.6515932000001 31.80823970800003, 120.65164918400001 31.80824677000004, 120.65167920800002 31.808073197000056, 120.6516232240001 31.808066135000047, 120.65160905000005 31.808148076000066)))",ebf6de78c0adb801051dce83c56b1eca,塘桥镇,张家港,周巷村第十四组1号,周巷村第十四组1号辅房2,周巷村,"3205820102540","3",120.651636204,31.8081564525,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"1","",
943273,"MULTIPOLYGON (((120.65131048800004 31.808257600000047, 120.6513160290001 31.808222595000075, 120.65121047500008 31.808210409000026, 120.65119766700002 31.808291309000026, 120.65130322200002 31.808303496000065, 120.65131048800004 31.808257600000047)))","10dac0815afeb2316421ea41bec48504",塘桥镇,张家港,周巷村委会十四组二号,周巷村委会十四组二号辅房4,周巷村委会,"3205820102548","3",120.651256848,31.8082569523,"",0,0,0,0,0,"320582100","320582","320582100244",,0,,,,,,"1","",
1338558,"MULTIPOLYGON (((121.26094333000003 31.504568921000043, 121.26100470900008 31.504519541000036, 121.26093987000002 31.504460378000033, 121.2608784900001 31.50450975900003, 121.26094333000003 31.504568921000043)))","36f4fe60f3bf5696e1fe34395c00ec25",浏河镇,太仓市,浏,滨河街65一301,河北社区,"3205850127357","12",121.2609416,31.5045146497,"",0,0,0,0,0,"320585111","320585","320585111003",,0,,,,,,"1","",
1005163,"MULTIPOLYGON (((120.6580756400001 31.77907404000007, 120.65816461000009 31.779092810000066, 120.65819754000006 31.778982420000034, 120.65810762000001 31.77896345000005, 120.6580756400001 31.77907404000007)))","2ace25273de54a5b9c7c7c52baf0bc47",凤凰镇,张家港,双塘村恬庄花苑103幢2号,双塘村恬庄花苑103幢2号,双塘村委会,"3205820105239","9.5",120.658136381,31.7790280822,"",0,0,0,0,0,"320582103","320582","320582103229",,1,,,,,,"1","",
1004990,"MULTIPOLYGON (((120.649220463 31.780507045000036, 120.64936154300005 31.780586351000068, 120.64939944600007 31.78053715200008, 120.64925836600003 31.780457845000058, 120.649220463 31.780507045000036)))",ef0882ee6fcc12732f0cb1b5a53bdf91,凤凰镇,张家港,双塘村22组36号,双塘村22组36号,双塘村委会,"3205820105643","7.2",120.649309954,31.7805220981,"",0,0,0,0,0,"320582103","320582","320582103229",,1,,,,,,"1","",
471836,"MULTIPOLYGON (((120.6084342580001 31.039135351000027, 120.60840071900009 31.03912572100006, 120.60835956200003 31.039113903000043, 120.60831409500008 31.039100848000032, 120.6082960980001 31.039163531000042, 120.60841626000001 31.039198033000048, 120.6084342580001 31.039135351000027)))",c6a21cd786534bd5900ed9cb6c02fc52,平望镇,吴江区,溪港村委会21组南横港路32号,溪港村委会21组南横港路32号,溪港村委会,"3205090426620","8.8",120.608365178,31.0391494407,"",0,0,0,0,0,"320509102","320509","320509102224",,1,,,,,,"1","",
