"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-16 18:31:37.000,"523205066770402310",苏州本色美术馆,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区郭巷街道九盛港路765号,C,"24","243",,"2",,"20240105","0",制造业,文教、工美、体育和娱乐用品制造业,工艺美术及礼仪用品制造,,"320506004",郭巷街道,E_5,,,,,,,,江苏省苏州市吴中区郭巷街道九盛港路765号,"120.66732","31.25687",,,"2",,,
2026-03-16 18:31:37.000,"903205093465402153",益泰健（苏州）生物技术有限公司,江苏省,"320000",苏州市,"320500",吴江区,"320509",吴江开发区大光路88号,C,"27","276","2761","0",,"20250306","0",制造业,医药制造业,生物药品制品制造,生物药品制造,"320509003",江陵街道,A,,,,,,,,江苏省苏州市吴江区江陵街道大光路88号,"120.67964","31.127028",,,"2",,,
2026-03-16 18:31:37.000,"91120000MA06TF6Q2U",苏州淞岚节能技术有限责任公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇陆公路1号5#厂房101,D,"44","443",,"2",,"20240205","0",电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,热力生产和供应,,"320585500",太仓港经济技术开发区,J,,,,,,,,江苏省苏州市太仓市浮桥镇陆公路1号同高院5幢,"121.203259","31.626057",,,"1",,,
2026-03-16 18:31:37.000,"91120102MAD6XJTC0A",天津市深博机械有限公司,江苏省,"320000",苏州市,"320500",张家港市,"320582",天津市河东区二号桥地毯路赛远科技园内隔离服车间-1,C,"33","332","3329","2",,"20240712","0",制造业,金属制品业,金属工具制造,其他金属工具制造,"320582403",张家港保税区,E_4,,,,,,,,江苏省苏州市张家港市金港街道港澳路6号,"120.446418","31.950734",,,"1",,,
2026-03-16 18:31:37.000,"911201115594925361",天津市双威设备安装有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",天津市东丽区金钟新市镇昆仑北路与信友道交口金钟街便民服务中心C区金钟街楼宇招商中心303号,C,"34","342","3421","2",,"20250228","0",制造业,通用设备制造业,金属加工机械制造,金属切削机床制造,"320585500",太仓港经济技术开发区,E_4,"0","1",,,,,,江苏省苏州市太仓市浮桥镇鸿运路11号,"121.20561","31.5921",,,"1",,,
2026-03-16 18:31:37.000,"91120118MA05N83E2L",菲特（天津）检测技术有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",青岛东路1号,C,"34","349","3499","2",,"20240129","0",制造业,通用设备制造业,其他通用设备制造业,其他未列明通用设备制造业,"320585501",高新区,E_4,,,,,,,,江苏省苏州市太仓市娄东街道青岛东路1号,"121.08794","31.4853",,,"1",,,
2026-03-16 18:31:37.000,"911507810539007587",满洲里松海贸易有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇平江路666号,C,"20","201","2019","0",,"20250221","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,其他木材加工,"320585500",太仓港经济技术开发区,E,"0","0",,,,,,江苏省苏州市太仓市浮桥镇平江路666号,"121.162056","31.637605",,,"2",,,
2026-03-16 18:31:37.000,"91210213MA0UW5J89A",昆山安巨智能自动化科技有限公司,江苏省,"320000",苏州市,"320500",昆山市,"320583",昆山市淀山湖镇黄浦江南路218号3号房,C,"34","342","3421","2",,"20250227","0",制造业,通用设备制造业,金属加工机械制造,金属切削机床制造,"320583110",淀山湖镇,E_4,,,,,,,,江苏省苏州市昆山市淀山湖镇黄浦江南路218号,"121.00559","31.196681",,,"1",,,
2026-03-16 18:31:37.000,"91231081MA19LBQL9P",绥芬河市宸光进出口贸易有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇平江路666号,C,"20","201","2019","0",,"20250221","0",制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,其他木材加工,"320585500",太仓港经济技术开发区,E,"0","0",,,,,,江苏省苏州市太仓市浮桥镇平江路666号,"121.162056","31.637605",,,"2",,,
2026-03-16 18:31:37.000,"91310000679399272D",济丰包装（上海）有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市田林路398号2幢2楼A204,C,"22","223","2239","2",,"20250301","0",制造业,造纸和纸制品业,纸制品制造,其他纸制品制造,"320585500",太仓港经济技术开发区,E_5,,,,,,,,江苏省苏州市太仓市浮桥镇兴港路31号,"121.214493","31.622681",,,"1",,,
