"时间戳","主键ID","检查主键ID","社会信用代码","省编码","市编码","区县编码","乡镇编码","隐患等级（1：一般隐患 2：重大隐患）","隐患详情","整改建议","整改状态(0：未整改 1：已整改)","提交行政执法状态","预估/期限整改时间","风险表id","风险代码","检查时间","检查部门","隐患状态","信息来源：1-企业自查 2-监管检查 3-监管部门下发 4-行政执法检查","记录表id"," info表id","原表id","创建人","创建日期","修改人","修改日期"," 数据来源","计划id"
2026-03-11 21:02:32.000,"26a64543632d4ff3b463826f417d4c20",f7b555c05fa74ff8b463826f417d4c20,"91320500667601138X","320000","320500","320507","320507006","1",烘箱上缺少高温标识,请按照管控措施要求完成整改,"1",,2023-11-23 00:00:00.000,,"0301",2023-11-08 10:17:35.000,苏州勤伦机电有限公司,"1","1",ad51d090a52848f6bd7fbd69e84b2def,,d8dec1dc54a44e42b463826f417d4c20,,,,2023-11-08 10:34:02.000,,
2026-03-11 21:02:32.000,"27c281d4-9211-83e30b405dfcd4a3d2","4044e5ad-6c51-e2e30b405dfcd4a3d2","91320509608296508W","320000","320500","320509","320509105","1",洗眼器压力不足,请按照管控措施要求完成整改,"1",,2023-11-18 00:00:00.000,,"0905",2023-11-18 15:59:32.000,苏州欧倍德纺织印染有限公司,"1","1",c7e24db9fd5c4b6ba4efacb584046e75,,"5d7160d3c287525ae30b405dfcd4a3d2",,,,2023-11-18 15:59:31.000,,
2026-03-11 21:02:32.000,"29895cab-8c8a-a0b000e0dd9be6e822","29056a65-b71a-44b000e0dd9be6e822","9132050933130472XJ","320000","320500","320509","320509111","1",有一个防爆柜未接地线,请按照管控措施要求完成整改,"1",,2023-11-07 00:00:00.000,,"0309",2023-11-07 11:14:12.000,苏州健睿电子机械有限公司,"1","1","3d5ade168b8f4fd7bccc58ae49a7d234",,"5a917a6a3acfd8b2b000e0dd9be6e822",,,,2023-11-07 11:14:12.000,,
2026-03-11 21:02:32.000,"2ce51994-f004-067023a8e60ec4b37e","5f348f38-c693-b77023a8e60ec4b37e","91320509767387642P","320000","320500","320509","320509107","1",熔炼车间盖板破损,请按照管控措施要求完成整改,"1",,2023-11-30 00:00:00.000,,"0506",2023-11-04 14:37:05.000,江苏富威科技股份有限公司,"1","1",ea22284336534681b770ae8fbc8ce7c2,,"8f4d5b44990927037023a8e60ec4b37e",,,,2023-11-18 09:24:43.000,,
2026-03-11 21:02:32.000,"2cf3879a-8761-3e9adf9e35a347815a",ab6c3112-73d8-339adf9e35a347815a,"913205096082970416","320000","320500","320509","320509109","1",消防沙缺铁锹,请按照管控措施要求完成整改,"1",,2023-11-23 00:00:00.000,,"0905",2023-11-23 14:46:36.000,苏州铭德纺织品有限公司,"1","1","2914df3be90b489387cba8d56a4eb56d",,"56e055b091f8063b9adf9e35a347815a",,,,2023-11-23 14:46:35.000,,
2026-03-11 21:02:32.000,"2fc695936b7744e73c5dbfc387891b9f",rwjl2fc695936b773c5dbfc387891b9f,"913205823391937296","320000","320500","320582","320582001","1",较大风险告知牌内容确实,请按照管控措施要求完成整改,"1",,2023-12-21 00:00:00.000,,"0812",2023-11-21 10:42:34.000,张家港阿里木木贸易有限公司,"1","1","383b7c8da8fe40a99e9f385ec2dabc8b",,"3008e0face7a29183c5dbfc387891b9f",,,,2023-11-29 00:15:41.000,,
2026-03-11 21:02:32.000,"2fc695936b7744e789e2b820d3a25a18",rwjl2fc695936b7789e2b820d3a25a18,"913205823391937296","320000","320500","320582","320582001","1",较大风险告知牌内容确实,请按照管控措施要求完成整改,"1",,2023-12-21 00:00:00.000,,"0812",2023-11-21 10:42:34.000,张家港阿里木木贸易有限公司,"1","1","383b7c8da8fe40a99e9f385ec2dabc8b",,bd65479299f1f8cc89e2b820d3a25a18,,,,2023-11-29 00:15:41.000,,
2026-03-11 21:02:32.000,"3179185e1eeb474f85fba2fb17da71ff",rwjl3179185e1eeb85fba2fb17da71ff,"91320500750044854E","320000","320500","320582","320582100","1",有限空间场所未落实关锁,请按照管控措施要求完成整改,"1",,2023-12-04 00:00:00.000,,"0301",2023-11-04 00:00:00.000,苏州龙杰特种纤维股份有限公司,"1","1","048eddfa2e164ad9b64267a26554e8c2",,"82d24b208af1469485fba2fb17da71ff",,,,2023-11-28 22:34:44.000,,
2026-03-11 21:02:32.000,"3179185e1eeb474f89ffa6bfe9159147",rwjl3179185e1eeb89ffa6bfe9159147,"91320500750044854E","320000","320500","320582","320582100","1",有限空间场所未落实关锁,请按照管控措施要求完成整改,"1",,2023-12-04 00:00:00.000,,"0301",2023-11-04 00:00:00.000,苏州龙杰特种纤维股份有限公司,"1","1","048eddfa2e164ad9b64267a26554e8c2",,"69222e97c84b4ce989ffa6bfe9159147",,,,2023-11-28 22:34:44.000,,
2026-03-11 21:02:32.000,"3179185e1eeb474f8a2d6c7baef19bae",rwjl3179185e1eeb8a2d6c7baef19bae,"91320500750044854E","320000","320500","320582","320582100","1",有限空间场所未落实关锁,请按照管控措施要求完成整改,"1",,2023-12-04 00:00:00.000,,"0301",2023-11-04 00:00:00.000,苏州龙杰特种纤维股份有限公司,"1","1","048eddfa2e164ad9b64267a26554e8c2",,"2df7fb601d2948568a2d6c7baef19bae",,,,2023-11-28 22:34:44.000,,
