"时间戳","管理类别名称","主要事故类别","风险点","备注","管理类别编码","主键ID","风险代码","风险名称","创建人","修改人","创建时间","修改时间","排序","删除标识"
2026-03-11 19:06:55.000,（01）非煤矿山,火灾、其他爆炸,油气储罐、集输管道及周边,,"01","202012301114039 ","0139",油气站库、集输管道泄漏,,,,,139,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,高处坠落、物体打击,钻井、修井施工现场,,"01","202012301114040 ","0140",油、气井平台施工作业,,,,,140,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,其他,,,"01","202012301114041 ","0199",经企业辨识后确定为较大以上的其他风险,,,,,199,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,光气合成及光气化产品生产单元；一氧化碳制备单元；氯气制备、储运单元；光气及光气化产品储运单元；装置开停车,,"02","202012301114042 ","0201",光气及光气化工艺,,,,,201,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,电解单元；氯氢处理单元或场所；液氯、氢气充装、储存场所；装置开停车,,"02","202012301114043 ","0202",电解（氯碱）工艺,,,,,202,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,氯化单元；液氯储运单元；装置开停车,,"02","202012301114044 ","0203",氯化工艺,,,,,203,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,硝化单元；分离单元；装置开停车,,"02","202012301114045 ","0204",硝化工艺,,,,,204,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,气化单元；净化单元；合成单元；氨储存单元；空分单元；液氧储存单元；装置开停车,,"02","202012301114046 ","0205",合成氨工艺,,,,,205,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,裂解（裂化）单元；制冷系统；压缩单元；引风系统；分离单元；装置开停车,,"02","202012301114047 ","0206",裂解（裂化）工艺,,,,,206,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,氟化单元；氟化剂储运单元；装置开停车,,"02","202012301114048 ","0207",氟化工艺,,,,,207,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,加氢单元；氢气压缩单元；氢气储存单元；装置开停车,,"02","202012301114049 ","0208",加氢工艺,,,,,208,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,重氮化单元；后处理系统；装置开停车,,"02","202012301114050 ","0209",重氮化工艺,,,,,209,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,氧化单元；装置开停车,,"02","202012301114051 ","0210",氧化工艺,,,,,210,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,过氧化单元；过氧化剂储运单元；装置开停车,,"02","202012301114052 ","0211",过氧化工艺,,,,,211,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,胺基化单元；液氨储运单元；装置开停车,,"02","202012301114053 ","0212",胺基化工艺,,,,,212,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息、灼烫,磺化单元；装置开停车,,"02","202012301114054 ","0213",磺化工艺,,,,,213,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,聚合单元；粉体聚合物储存单元；烷基铝类催化剂配制和储存单元；装置开停车,,"02","202012301114055 ","0214",聚合工艺,,,,,214,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,烷基化单元；烷基化催化剂储存单元；装置开停车,,"02","202012301114056 ","0215",烷基化工艺,,,,,215,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,煤气化单元；变换单元；净化单元；合成和转化单元；可燃气体压缩机；产物分离单元；产品储运单元；空分单元；装置开停车,,"02","202012301114057 ","0216",新型煤化工工艺,,,,,216,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,偶氮化单元；后处理单元；装置开停车,,"02","202012301114058 ","0217",偶氮化工艺,,,,,217,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,格氏反应单元；格式试剂配制和储存单元；装置开停车,,"02","202012301114059 ","0218",格氏反应工艺,,,,,218,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,危险化学品重大危险源生产单元和储存单元,,"02","202012301114060 ","0219",危险化学品重大危险源,,,,,219,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,涉及“两重点一重大”的危险化学品建设项目,,"02","202012301114061 ","0220",危化品建设项目试生产,,,,,220,"0"
