"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
526091,"MULTIPOLYGON (((120.75080902000002 31.047747660000027, 120.75070194000011 31.047723870000027, 120.75068018000002 31.047821810000073, 120.75078725000003 31.047845610000024, 120.75080902000002 31.047747660000027)))",e32bf43ffaa36b1e6f03d7b79d76945e,黎里镇,吴江区,永新村委21组大珠浜51号,永新村村委会21组大珠浜51号,永新村委会,"3205090347681","7",120.750744599,31.0477847372,"",0,0,0,0,0,"320509107","320509","320509107216",,1,,,,,,"1","",
1698149,"MULTIPOLYGON (((120.93339629310447 31.56182775764495, 120.93338603004133 31.56187025420894, 120.93342874244252 31.56187781570867, 120.93343900460638 31.561835319144734, 120.93339629310447 31.56182775764495)))",e337ac2711b20551d5a7c3710069d980,支塘镇,常熟市,"24组石驳岸北33号",石驳岸北33号辅房（辅房）,盛泾村委会,"3205810678538","3",120.933412518,31.5618527867,"",0,0,0,0,0,"320581109","320581","320581109216",,0,,,,,,"1","",
828985,"MULTIPOLYGON (((120.50893693500007 31.93469537800007, 120.50899693300005 31.934656327000027, 120.50891663900006 31.934566612000026, 120.50885664000009 31.93460566300007, 120.50893693500007 31.93469537800007)))",e3480cda2e05a75ca6ea1552eb35aca9,杨舍镇,张家港,晨南村27组24号,晨南村27组24号,晨南村委会,"3205820222998","6",120.508926787,31.9346309949,"",0,0,0,0,0,"320582110","320582","320582110213",,0,,,,,,"1","",
384609,"MULTIPOLYGON (((120.64057862900006 30.94574990700005, 120.6413654690001 30.94598641700003, 120.6414914390001 30.945661530000052, 120.64135799400003 30.94561667800008, 120.64142547100005 30.945454330000075, 120.64086490200009 30.945273728000075, 120.64077461300008 30.94524780000006, 120.64057862900006 30.94574990700005)))",e34e4c6d9dfacc168929f624b3a2cf88,平望镇,吴江区,东宇路2号,吴江区祥瑞纺织厂海益织造有限公司生产车间,莺湖,"3205090027899","4.3",120.641043767,30.9456225817,"",0,0,0,0,0,"320509102","320509","320509102226",,1,,,,,,"3","34",
523523,"MULTIPOLYGON (((120.8600887656 31.2454227414, 120.8600887656 31.245446073, 120.8601291885 31.245446073, 120.8601291885 31.2454227414, 120.8600887656 31.2454227414)))",e3514b2c93d04664a0065967ca372dc1,甪直镇,吴中区,澄湖村委会张林11组北赵潭路4号,澄湖村委会张林11组北赵潭路4号-辅房4,澄湖村委会,"3205060336733","3",120.860108977,31.2454344072,"",0,0,0,0,0,"320506101","320506","320506101206",,0,,,,,,"1","",
43943,"MULTIPOLYGON (((120.51547229100004 31.22487571100004, 120.51558181100006 31.224866289000033, 120.51557365500003 31.224771490000023, 120.5154641360001 31.22478091100004, 120.51547229100004 31.22487571100004)))",e3596448d18e42e89f4cdc45b06a1368,木渎镇,吴中区,尧峰村3组木东路35-2号,尧峰村3组木东路35-2号-主房,尧峰村委会,"3205060105414","6",120.515522973,31.2248236003,"",0,0,0,0,0,"320506108","320506","320506108203",,0,,,,,,"1","",
1677953,"MULTIPOLYGON (((120.71839890498552 31.688796015423804, 120.7182587060745 31.68852751203508, 120.71818623690535 31.688554052827328, 120.71832841792218 31.68882318933879, 120.71839890498552 31.688796015423804)))",e359ce620cb25f8d801970757f2c6ff5,常福街道,常熟市,萧山路3号3幢,常福街道萧山路3号,毛桥村委会,"3205810312907","15",120.718292814,31.6886747702,"",0,0,0,0,0,"320581007","320581","320581007206","0",1,,,,,,"3","34",
655136,"MULTIPOLYGON (((120.33759284033738 31.329805519708998, 120.33766766033432 31.329836850290462, 120.3376922702821 31.329771969600756, 120.33761631983737 31.329740489731876, 120.33759284033738 31.329805519708998)))",e35e300758d70b81d22e655d269ee420,镇湖街道,高新区,东渚镇镇湖市桥村(20)市桥3号东侧房屋,东渚镇镇湖市桥村20市桥3号东侧房屋,市桥村委会,"3205050005415","3",120.337642327,31.3297886449,"5",0,0,0,0,1,"320505401","320505","320505401002",,1,,,,,,"1","",
410597,"MULTIPOLYGON (((120.43889221000006 30.93811599000003, 120.43879704000005 30.93808862000003, 120.43877662000011 30.93815963000003, 120.43887180000002 30.938186990000077, 120.43889221000006 30.93811599000003)))",e35ed879a4b7500dcd08855938b78ff0,震泽镇,吴江区,前港村16组53号,前港村委会16组53号潘金坤的辅房1,前港村委会,"3205090170182","4",120.438834416,30.9381378075,"",0,0,0,0,0,"320509105","320509","320509105223",,1,,,,,,"3","35",
117080,"MULTIPOLYGON (((120.49161744500009 30.968597114000033, 120.49159553600009 30.96867379500003, 120.49158698800011 30.96870371400007, 120.49172878600007 30.96874422700006, 120.49175924300005 30.968637627000078, 120.49161744500009 30.968597114000033)))",e3684989059a4473a363f674743f6dcb,七都镇,吴江区,七都镇庙港开弦弓村(１７)荷花湾95号,七都镇庙港开弦弓村(１７)荷花湾95号,开弦弓村委会,"3205090163330","12",120.491673115,30.9686706705,"",0,0,0,0,0,"320509104","320509","320509104223",,0,,,,,,"1","",
