"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-09 18:31:40.000,"91320507MA1WU3GB1G",苏州市旭利杰装饰有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春光路30号,C,"33","331","3312","0",,"20250227","0",制造业,金属制品业,结构性金属制品制造,金属门窗制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春光路30号,"120.559788","31.43846","3034d5c2d20e446dab8a887e6d869f5e",D,"1",,,"3205000013319267"
2026-03-09 18:31:39.000,"91320507757988479W",苏州市爱索电子工业设备有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春光路30号第六栋厂房,C,"35","356","3569","1",2026-01-30 10:44:51.000,"20260130","0",制造业,专用设备制造业,电子和电工机械专用设备制造,其他电子专用设备制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春光路30号,"120.559788","31.43846","15a68abcc6644249b0a084e6c45117c8",D,"1",,,"3205000013319267"
2026-03-09 18:31:48.000,"92320507MA1PP9HN9N",相城区黄埭镇永良金属制品厂,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春光路30号,C,"33","331","3311","0",,"20250303","0",制造业,金属制品业,结构性金属制品制造,金属结构制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春光路30号,"120.559788","31.43846",c72744f633784935a7da468794672539,D,"1",,,"3205000013319267"
2026-03-09 18:31:40.000,"91320507MA1NAGYK8Q",苏州苏嘉慧金属制品有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春光路30号,C,"33","332","3329","1",2026-01-14 12:19:48.000,"20260114","0",制造业,金属制品业,金属工具制造,其他金属工具制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春光路30号,"120.559788","31.43846","45e13eb583fd4b66998214a122090764",D,"1",,,"3205000013319267"
2026-03-09 18:31:39.000,"91320507696779840M",苏州宏冠模具有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州相城区黄埭镇东桥安民路18号一楼,C,"35","352","3525","0",,"20250519","0",制造业,专用设备制造业,化工、木材、非金属加工专用设备制造,模具制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇安民路18号,"120.50615","31.423217","7888359cdb074e7eaa6e785df175114a",D,"1",,,"3205000013355045"
2026-03-09 18:31:39.000,"91320507734419951U",苏州市黄埭新乐印刷厂,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园12幢一二楼,C,"22","223","2231","1",2026-01-28 15:04:54.000,"20260128","0",制造业,造纸和纸制品业,纸制品制造,纸和纸板容器制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路88号3幢,"120.534751","31.427567","09b971b019ea4dc4a14f57bd44b44ab2",D,"1",,,"3205000013364568"
2026-03-09 18:31:39.000,"91320507MA1MLG1A5C",苏州市普郎斯热处理有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园14幢一楼,C,"33","336",,"1",2026-01-28 15:09:24.000,"20260128","0",制造业,金属制品业,金属表面处理及热处理加工,,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇健民路81号,"120.49454","31.43578","536b927c37d54ee6b552cfb3cdbea1bc",D,"1",,,"3205000013364605"
2026-03-09 18:31:37.000,"320507600146888",无,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区太平旺巷村泥头,C,"30","303","3031","0",,"20250211","0",制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,粘土砖瓦及建筑砌块制造,"320507007",太平街道,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320512600163922",苏州高新区废旧物资交易市场锝翔废金属经营部,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"42","421",,"2",,"20240124","0",制造业,废弃资源综合利用业,金属废料和碎屑加工处理,,"320506111",临湖镇,N,,,,,,,,,,,,,"1",,,
2026-03-09 18:31:37.000,"320524197604035411",相城区太平居氏装饰工程,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区太平街道聚金村巷路里18号,C,"33","335","3359","0",,"20250106","0",制造业,金属制品业,建筑、安全用金属制品制造,其他建筑、安全用金属制品制造,"320507007",太平街道,E,,,,,,,,,,,,,"2",,,
