"时间戳","市","企业历史id","区、县","备注","地址名称","省","街道、乡镇","是否为主要","主键id","详细地址","创建人","修改人","创建时间","修改时间","排序","删除标识","统一社会信用代码","经度","纬度"
2026-03-11 20:03:07.000,"320500","4f43c45338f54c41a24e206a8186da00","320581",ff8080818708b798018709a410db0337,常熟市海虞荣鑫制衣厂,"320000","320581202","1","0006845355114ce19ec1ed3b888b79cf",人民路16号,admin,admin,2023-03-22,2026-01-01,1,"0","91320581737057378F","120.792961","31.741786"
2026-03-11 20:03:07.000,"320500","6c747b5443b04b4ca60931496b464d17","320509","8ae4ca877c84f941017ca222cc6e0eb1","629号内","320000","320509400","1","0006ce8d54cd4e79a0bdb865264a1a4f",云梨路629号,admin,admin,2022-03-04,2022-03-04,1,"0","91320509MA1MKW7G01","120.697709","31.161262"
2026-03-11 20:03:07.000,"320500",e03d82a46bbc49e0a3bc97f694847961,"320583",ff80808185fb45ff0185fc3fcbcb7b9b,钱安路18号3号厂房,"320000","320583105","1","0006e560064443338de340ed2dac98cb",钱安路18号3号厂房,admin,admin,2023-02-07,2023-02-07,1,"0","91320583MA1MT8CX55","121.045270","31.183450"
2026-03-11 20:03:07.000,"320500",c930c9f6cc2e42ec8cc1b536782df9eb,"320509","9440e47c205f4d568b91af303ea6c3f6",吴江市中天包装材料有限公司,"320000","320509110","1","00073b68234b4ab192d67698ce9fe7d1",浦西工业小区,admin,admin,2026-01-11,2026-01-11,1,"0","91320509727266571G","120.697295","31.003716"
2026-03-11 20:03:07.000,"320500","64958d970831449099414f2ffabb6dac","320585","8ae4ca8689499254018951dcd9db3a1b",工业区,"320000","320585101","1","000756d7bc7a4a4992fa36eb62bc7cb2",归庄,admin,admin,2023-07-14,2023-07-14,1,"0","91320585716857499E","121.074815","31.618567"
2026-03-11 20:03:07.000,"320500",a1768f07a9bb46bc854d8f84235ed5b9,"320583",tutz7ebc7ds0000000,昆山雷博工业配套有限公司,,"320583102","1","000778e3e1e44aaf91df382cd0fea380",盛帆路218号,admin,admin,2024-06-13,2024-06-13,1,"0","91320583MA7FM56G62","121.022250","31.406184"
2026-03-11 20:03:07.000,"320500","9c12408d763a4d928c5df2672590810d","320509","8ae4ca868b46ef23018b5b8edd7e65b3",苏州今汇新材料科技有限公司,"","320509400","1","000786cc9a974d6a8216a8e144c337bc",辽浜路255号4幢,admin,admin,2023-10-24,2023-10-24,1,"0","91320509MA22QHB86E","120.703987","31.150210"
2026-03-11 20:03:07.000,"320500",a7051b23a7384c1da82dae2101ea0e28,"320505","8aae07368d3a8831018d3e116f0f4380",SMT车间、集成车间、Cable车间,"320000","320505003","1","00079c7326c04f9aa9e643cd64cf6286",枫桥民营科技工业园23号厂房,admin,admin,2024-01-25,2024-01-25,1,"0","9132050572228210X3","120.000000","31.000000"
2026-03-11 20:03:07.000,"320500","83dbe0a718aa4ee3bfd1877c79054007","320581","8ae4ca8d7f0578e1017f0644a89f08d7",双浜路40号生产车间,"320000","320581110","1","0007d3f9f6e647f293450c2d5bb63a3a",双浜村,admin,admin,2022-02-17,2022-02-17,1,"0","9132050706953422XB","120.600000","31.500000"
2026-03-11 20:03:07.000,"320500","70a61dccf2914e5baeead59299280404","320583","8aae07368ced9285018ceddbec456579",昆山茗胜印务有限公司,"","320583108","1","0007e48e92c74b0395806c308f7e2ccd",灯泾路109号,admin,admin,2024-01-09,2024-01-09,1,"0","913205837820988650","121.017448","31.252136"
2026-03-11 20:03:07.000,"320500",b5dd41d3339445cd94025cd05ac38a82,"320509","8ae4ca857e6c2059017e70c84e5a1365",苏州市华辰板业科技有限公司,"320000","320509108","1","00080e75d42c40c1b3006eec86a4ed66",金星村,admin,admin,2022-01-19,2022-01-19,1,"0","913205090942641376","120.521145","30.932951"
2026-03-11 20:03:07.000,"320500","76df86090ea245f6860f2e9df9da2beb","320583","0b29ef2ff3e049b785b770d2293a44c6",江苏倚信自动化设备有限公司,"320000","320583499","1","000840e2a0364dac8c5c1ca38ac83159",包家桥路369号,admin,admin,2026-01-13,2026-01-13,1,"0","91320583301974482Q","120.927922","31.433357"
2026-03-11 20:03:07.000,"320500","24ddae05727348469fc27c9657990629","320583",c5b6b20b38fa43b1a64631e3e933f2b1,昆山玉山镇高新区,"320000","320583499","1","0008439a1b7645a18a07f38ddc06c3c4",昆山玉山镇高新区晨淞路199号,admin,admin,2025-01-10,2025-01-10,1,"0","913205837394288655","118.763661","33.061961"
2026-03-11 20:03:07.000,"320500","2e5ed7e4399a48629e787f7b75ae64f9","320583","8aae07378d6826a1018d6852d138371c",椿长仪器仪表（昆山）有限公司,"320000","320583106","1","000853540b1a41dc83a8a4d1ddf739a9",俱进路101号,admin,admin,2024-02-02,2024-02-02,1,"0","91320583MA1MWN6T18","120.967251","31.296024"
2026-03-11 20:03:07.000,"320500","69119081d65d42258f073fd445f6a409","320509","8ae4ca877e4e7f40017e5720e58e1743",苏州璟辉纺织有限公司,"320000","320509105","1","0008562d9f1c4da98e7cfffd5590eb53",南麻社区栅头桥,admin,admin,2022-01-14,2022-01-14,1,"0","91320509MA1MFRWC62","120.572282","30.891505"
2026-03-11 20:03:07.000,"320500","3295a5c406b54075972e2f0907cffe6b","320585",a1ac1b524b2a4afc8a70e348b393d644,时沪路,"320000","320585400","1","000862c51f3f48d2919407eeb0492ef6",时思村,admin,admin,2025-03-09,2025-03-09,1,"0","913205857481698421","121.144068","31.637678"
2026-03-11 20:03:07.000,"320500","3cc1f2e9b620452598ca9e61b09b086b","320581","8aae073694fe7aad0195179946c5448b",苏州木公广廷木业有限公司,"320000","320581200","1","00088e0ab8d942378280bb5f11f10914",老乌泾路5号,admin,admin,2025-02-24,2026-01-01,1,"0","91320581MA1NEFB15X","120.945563","31.723644"
2026-03-11 20:03:07.000,"320500","514a7b8a91c9498e86c49e80a8a43a06","320583","6bbf336706c34e6c88a57241b19d57d3",东岳路183号,"320000","320583101","1","00089a83bdd749ddb56c0d02256603f4",昆山市巴城镇东岳路183号,admin,admin,2026-01-07,2026-01-07,1,"0","91320583598616685A","120.927500","31.506630"
